,classifier,accuracy
0,SVC,0.6342592592592593
1,SVC,0.5925925925925926
2,SVC,0.6296296296296297
3,SVC,0.6064814814814815
4,SVC,0.6296296296296297
5,SVC,0.5972222222222222
6,SVC,0.6111111111111112
7,SVC,0.6388888888888888
8,SVC,0.6435185185185185
9,SVC,0.6481481481481481
10,SVC,0.5833333333333334
11,SVC,0.6018518518518519
12,SVC,0.5879629629629629
13,SVC,0.6157407407407407
14,SVC,0.6388888888888888
15,SVC,0.6203703703703703
16,SVC,0.6666666666666666
17,SVC,0.6527777777777778
18,SVC,0.5787037037037037
19,SVC,0.6481481481481481
20,SVC,0.6342592592592593
21,SVC,0.6574074074074074
22,SVC,0.5972222222222222
23,SVC,0.6018518518518519
24,SVC,0.6388888888888888
25,SVC,0.6620370370370371
26,SVC,0.5740740740740741
27,SVC,0.625
28,SVC,0.6203703703703703
29,SVC,0.6064814814814815
30,SVC,0.6157407407407407
31,SVC,0.6898148148148148
32,SVC,0.6805555555555556
33,SVC,0.6388888888888888
34,SVC,0.625
35,SVC,0.5972222222222222
36,SVC,0.6157407407407407
37,SVC,0.6527777777777778
38,SVC,0.6388888888888888
39,SVC,0.6666666666666666
40,SVC,0.6342592592592593
41,SVC,0.6527777777777778
42,SVC,0.6018518518518519
43,SVC,0.6527777777777778
44,SVC,0.6435185185185185
45,SVC,0.6203703703703703
46,SVC,0.6759259259259259
47,SVC,0.6527777777777778
48,SVC,0.5833333333333334
49,SVC,0.6481481481481481
50,SVC,0.6527777777777778
51,SVC,0.6481481481481481
52,SVC,0.6296296296296297
53,SVC,0.6527777777777778
54,SVC,0.6759259259259259
55,SVC,0.6712962962962963
56,SVC,0.6481481481481481
57,SVC,0.6157407407407407
58,SVC,0.6759259259259259
59,SVC,0.6157407407407407
60,SVC,0.6064814814814815
61,SVC,0.6435185185185185
62,SVC,0.6712962962962963
63,SVC,0.6666666666666666
64,SVC,0.6342592592592593
65,SVC,0.625
66,SVC,0.6527777777777778
67,SVC,0.6574074074074074
68,SVC,0.6018518518518519
69,SVC,0.6805555555555556
70,SVC,0.6666666666666666
71,SVC,0.6111111111111112
72,SVC,0.6064814814814815
73,SVC,0.5324074074074074
74,SVC,0.6620370370370371
75,SVC,0.6481481481481481
76,SVC,0.625
77,SVC,0.6111111111111112
78,SVC,0.6064814814814815
79,SVC,0.6712962962962963
80,SVC,0.5601851851851852
81,SVC,0.5925925925925926
82,SVC,0.5601851851851852
83,SVC,0.6111111111111112
84,SVC,0.6574074074074074
85,SVC,0.6388888888888888
86,SVC,0.6388888888888888
87,SVC,0.6527777777777778
88,SVC,0.6527777777777778
89,SVC,0.625
90,SVC,0.6342592592592593
91,SVC,0.6111111111111112
92,SVC,0.5787037037037037
93,SVC,0.6759259259259259
94,SVC,0.625
95,SVC,0.5879629629629629
96,SVC,0.6342592592592593
97,SVC,0.6435185185185185
98,SVC,0.6481481481481481
99,SVC,0.6388888888888888
100,Random Forest,0.5462962962962963
101,Random Forest,0.5185185185185185
102,Random Forest,0.5370370370370371
103,Random Forest,0.5138888888888888
104,Random Forest,0.5694444444444444
